ce_id,severity,rule,description,affected_assignments,created_at
ce-20260609191112406-74-11a7db,info,pending_review,李娜 2026-06-13 中班 待确认,asg-20260609191112404-12-12e531,2026-06-09T19:11:12
ce-20260609191112406-75-d2f039,info,pending_review,王强 2026-06-13 晚班 待确认,asg-20260609191112404-13-713c50,2026-06-09T19:11:12
ce-20260609191112406-76-ef7020,info,pending_review,赵磊 2026-06-14 早班 待确认,asg-20260609191112404-14-77703d,2026-06-09T19:11:12
ce-20260609191112406-77-aadadc,info,pending_review,陈静 2026-06-14 中班 待确认,asg-20260609191112404-15-d0f740,2026-06-09T19:11:12
ce-20260609191112406-78-724269,info,pending_review,刘洋 2026-06-14 晚班 待确认,asg-20260609191112404-16-f82cf0,2026-06-09T19:11:12
ce-20260609191112406-79-3a2dd2,info,pending_review,孙悦 2026-06-15 全天 待确认,asg-20260609191112404-23-79ecc4,2026-06-09T19:11:12
ce-20260609191112406-80-7c940f,info,pending_review,周杰 2026-06-15 早班 待确认,asg-20260609191112404-24-79408f,2026-06-09T19:11:12
ce-20260609191112406-81-4323cf,info,pending_review,吴敏 2026-06-15 晚班 待确认,asg-20260609191112404-25-8e6c16,2026-06-09T19:11:12
ce-20260609191112406-82-3e8d3a,info,pending_review,张伟 2026-06-16 早班 待确认,asg-20260609191112404-26-42d8d6,2026-06-09T19:11:12
ce-20260609191112406-83-bddabe,info,pending_review,李娜 2026-06-16 中班 待确认,asg-20260609191112404-27-420da9,2026-06-09T19:11:12
ce-20260609191112406-84-530550,info,pending_review,王强 2026-06-16 晚班 待确认,asg-20260609191112404-28-e99971,2026-06-09T19:11:12
ce-20260609191112406-85-8e33e1,info,pending_review,赵磊 2026-06-17 早班 待确认,asg-20260609191112404-29-461e31,2026-06-09T19:11:12
ce-20260609191112406-86-85a0cc,info,pending_review,陈静 2026-06-17 中班 待确认,asg-20260609191112404-30-f361c4,2026-06-09T19:11:12
ce-20260609191112406-87-a22b62,info,pending_review,刘洋 2026-06-17 晚班 待确认,asg-20260609191112404-31-7ce8c3,2026-06-09T19:11:12
